Gene,Sample,Replicate,Ct
beta_actin,basal,1,14.86
beta_actin,basal,2,15
beta_actin,basal,3,14.99
beta_actin,IFN_72h,1,14.6
beta_actin,IFN_72h,2,14.66
beta_actin,IFN_72h,3,14.56
beta_actin,IFN_48h,1,14.25
beta_actin,IFN_48h,2,14.22
beta_actin,IFN_48h,3,14.25
beta_actin,IFN_24h,1,14.2
beta_actin,IFN_24h,2,14.23
beta_actin,IFN_24h,3,14.3
LRRK2,basal,1,24.92
LRRK2,basal,2,24.86
LRRK2,basal,3,24.95
LRRK2,IFN_72h,1,20.69
LRRK2,IFN_72h,2,20.61
LRRK2,IFN_72h,3,20.68
LRRK2,IFN_48h,1,20.32
LRRK2,IFN_48h,2,20.45
LRRK2,IFN_48h,3,20.51
LRRK2,IFN_24h,1,20.46
LRRK2,IFN_24h,2,20.44
LRRK2,IFN_24h,3,20.47
IL-6,basal,1,30.61
IL-6,basal,2,30.73
IL-6,basal,3,30.79
IL-6,IFN_72h,1,26.46
IL-6,IFN_72h,2,26.28
IL-6,IFN_72h,3,26.26
IL-6,IFN_48h,1,25.72
IL-6,IFN_48h,2,25.84
IL-6,IFN_48h,3,25.64
IL-6,IFN_24h,1,25.36
IL-6,IFN_24h,2,25.33
IL-6,IFN_24h,3,25.5
CCL5,basal,1,38.64
CCL5,basal,2,31.24
CCL5,basal,3,30.37
CCL5,IFN_72h,1,25.36
CCL5,IFN_72h,2,25.06
CCL5,IFN_72h,3,25.06
CCL5,IFN_48h,1,25.14
CCL5,IFN_48h,2,25.11
CCL5,IFN_48h,3,25.2
CCL5,IFN_24h,1,24.44
CCL5,IFN_24h,2,24.48
CCL5,IFN_24h,3,24.46
TNFalpha,basal,1,30.91
TNFalpha,basal,2,31.02
TNFalpha,basal,3,30.84
TNFalpha,IFN_72h,1,27.67
TNFalpha,IFN_72h,2,27.84
TNFalpha,IFN_72h,3,27.87
TNFalpha,IFN_48h,1,27.04
TNFalpha,IFN_48h,2,26.97
TNFalpha,IFN_48h,3,26.94
TNFalpha,IFN_24h,1,26.66
TNFalpha,IFN_24h,2,26.52
TNFalpha,IFN_24h,3,26.17
IL-10,basal,1,26.73
IL-10,basal,2,26.78
IL-10,basal,3,26.71
IL-10,IFN_72h,1,27.81
IL-10,IFN_72h,2,27.74
IL-10,IFN_72h,3,27.8
IL-10,IFN_48h,1,27.65
IL-10,IFN_48h,2,27.27
IL-10,IFN_48h,3,27.54
IL-10,IFN_24h,1,27.01
IL-10,IFN_24h,2,27.03
IL-10,IFN_24h,3,26.99
